station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
CI.IMP..HH,2020-10-01T00:00:00.008,14858,2020-10-01T00:02:28.588,0.86,S,CI.IMP.2020-10-01T00:00.mseed,0.00021977715368848294,0.00021977715368848294
CI.IMP..HH,2020-10-01T00:00:00.008,15371,2020-10-01T00:02:33.718,0.315,S,CI.IMP.2020-10-01T00:00.mseed,0.0001377339067403227,0.0001377339067403227
CI.IMP..HH,2020-10-01T00:00:00.008,16178,2020-10-01T00:02:41.788,0.481,S,CI.IMP.2020-10-01T00:00.mseed,8.446646097581834e-05,8.446646097581834e-05
CI.IMP..HH,2020-10-01T00:00:00.008,17726,2020-10-01T00:02:57.268,0.704,S,CI.IMP.2020-10-01T00:00.mseed,3.871077933581546e-05,3.871077933581546e-05
CI.RXH..HH,2020-10-01T00:00:00.003,1,2020-10-01T00:00:00.013,0.351,P,CI.RXH.2020-10-01T00:00.mseed,3.563469726941548e-05,3.563469726941548e-05
CI.RXH..HH,2020-10-01T00:00:00.003,3340,2020-10-01T00:00:33.403,0.554,P,CI.RXH.2020-10-01T00:00.mseed,2.1117404685355723e-05,2.1117404685355723e-05
CI.RXH..HH,2020-10-01T00:00:00.003,5878,2020-10-01T00:00:58.783,0.788,P,CI.RXH.2020-10-01T00:00.mseed,1.423613321094308e-05,1.423613321094308e-05
CI.RXH..HH,2020-10-01T00:00:00.003,8612,2020-10-01T00:01:26.123,0.466,P,CI.RXH.2020-10-01T00:00.mseed,2.027958726102952e-05,2.027958726102952e-05
CI.RXH..HH,2020-10-01T00:00:00.003,14318,2020-10-01T00:02:23.183,0.978,P,CI.RXH.2020-10-01T00:00.mseed,0.0006816518143750727,0.0006816518143750727
CI.RXH..HH,2020-10-01T00:00:00.003,3554,2020-10-01T00:00:35.543,0.795,S,CI.RXH.2020-10-01T00:00.mseed,2.1117404685355723e-05,2.1117404685355723e-05
CI.RXH..HH,2020-10-01T00:00:00.003,7209,2020-10-01T00:01:12.093,0.569,S,CI.RXH.2020-10-01T00:00.mseed,2.1363912310334854e-05,2.1363912310334854e-05
CI.RXH..HH,2020-10-01T00:00:00.003,14415,2020-10-01T00:02:24.153,0.663,S,CI.RXH.2020-10-01T00:00.mseed,0.0006816518143750727,0.0006816518143750727
CI.SAL..HH,2020-10-01T00:00:00.003,206,2020-10-01T00:00:02.063,0.769,P,CI.SAL.2020-10-01T00:00.mseed,1.1750007615773939e-05,1.1750007615773939e-05
CI.SAL..HH,2020-10-01T00:00:00.003,14919,2020-10-01T00:02:29.193,0.947,P,CI.SAL.2020-10-01T00:00.mseed,3.676175037981011e-05,3.676175037981011e-05
CI.SGL..HH,2020-10-01T00:00:00.008,218,2020-10-01T00:00:02.188,0.913,P,CI.SGL.2020-10-01T00:00.mseed,6.086681423767004e-06,6.086681423767004e-06
CI.SGL..HH,2020-10-01T00:00:00.008,3783,2020-10-01T00:00:37.838,0.647,P,CI.SGL.2020-10-01T00:00.mseed,3.486628202153952e-06,3.486628202153952e-06
CI.SGL..HH,2020-10-01T00:00:00.008,7456,2020-10-01T00:01:14.568,0.812,P,CI.SGL.2020-10-01T00:00.mseed,2.6206057555100415e-06,2.6206057555100415e-06
CI.SGL..HH,2020-10-01T00:00:00.008,9113,2020-10-01T00:01:31.138,0.594,P,CI.SGL.2020-10-01T00:00.mseed,2.290821612405125e-06,2.290821612405125e-06
CI.SGL..HH,2020-10-01T00:00:00.008,9977,2020-10-01T00:01:39.778,0.535,P,CI.SGL.2020-10-01T00:00.mseed,3.2802311125124106e-06,3.2802311125124106e-06
CI.SGL..HH,2020-10-01T00:00:00.008,11973,2020-10-01T00:01:59.738,0.361,P,CI.SGL.2020-10-01T00:00.mseed,2.1006203496654052e-06,2.1006203496654052e-06
CI.SGL..HH,2020-10-01T00:00:00.008,14941,2020-10-01T00:02:29.418,0.859,P,CI.SGL.2020-10-01T00:00.mseed,1.8224322047899477e-05,1.8224322047899477e-05
CI.SGL..HH,2020-10-01T00:00:00.008,833,2020-10-01T00:00:08.338,0.71,S,CI.SGL.2020-10-01T00:00.mseed,5.241390681476332e-06,5.241390681476332e-06
CI.SGL..HH,2020-10-01T00:00:00.008,8048,2020-10-01T00:01:20.488,0.56,S,CI.SGL.2020-10-01T00:00.mseed,2.290821612405125e-06,2.290821612405125e-06
CI.SGL..HH,2020-10-01T00:00:00.008,9515,2020-10-01T00:01:35.158,0.321,S,CI.SGL.2020-10-01T00:00.mseed,2.13982298191695e-06,2.13982298191695e-06
CI.SGL..HH,2020-10-01T00:00:00.008,9983,2020-10-01T00:01:39.838,0.318,S,CI.SGL.2020-10-01T00:00.mseed,3.2802311125124106e-06,3.2802311125124106e-06
CI.SGL..HH,2020-10-01T00:00:00.008,15620,2020-10-01T00:02:36.208,0.343,S,CI.SGL.2020-10-01T00:00.mseed,7.11377288098447e-06,7.11377288098447e-06
CI.SLV..HH,2020-10-01T00:00:00.003,417,2020-10-01T00:00:04.173,0.688,P,CI.SLV.2020-10-01T00:00.mseed,5.313889232638758e-06,5.313889232638758e-06
